"date","close","volume","open","high","low"
"2011/08/17","109.4400","160518.0000","110.0000","110.8000","108.6000"
"2011/08/16","109.3200","263771.0000","109.2200","110.3600","108.2400"
"2011/08/15","110.2600","225750.0000","109.1000","110.4000","108.8600"
"2011/08/12","108.0448","307175.0000","108.4800","109.0000","107.3200"
"2011/08/11","107.1800","919273.0000","103.7200","108.7000","103.2600"
"2011/08/10","102.6800","403101.0000","105.4600","106.3000","102.4800"
"2011/08/09","107.3400","579628.0000","104.4000","107.4000","100.9200"
"2011/08/08","102.7400","790268.0000","106.0200","108.2460","102.5400"
"2011/08/05","109.7800","538414.0000","111.3800","111.6536","106.9400"
"2011/08/04","110.0200","503956.0000","113.8800","113.9600","109.8400"
"2011/08/03","115.4200","380526.0000","114.9600","115.5400","112.9800"
"2011/08/02","114.8420","258364.0000","116.9600","117.5000","114.7800"
"2011/08/01","117.7800","435919.0000","119.7800","119.8200","116.6800"
"2011/07/29","118.2000","194564.0000","117.9600","119.3600","117.4400"
"2011/07/28","119.1200","169122.0000","119.4200","120.4800","118.9600"
"2011/07/27","119.4600","470290.0000","121.2000","121.2400","119.3000"
"2011/07/26","121.8800","138813.0000","122.3200","122.5000","121.6800"
"2011/07/25","122.4000","183620.0000","121.8800","123.0000","121.8070"
"2011/07/22","123.1000","90224.0000","123.0000","123.2000","122.4000"
"2011/07/21","123.0000","234229.0000","122.0000","123.2440","121.7800"
"2011/07/20","121.3800","90737.0000","121.7600","121.7800","121.1580"
"2011/07/19","121.3800","233259.0000","120.1400","121.4800","120.0800"
"2011/07/18","119.4400","93960.0000","119.9400","120.0200","118.5600"
"2011/07/15","120.4600","40443.0000","120.4600","120.5800","119.6400"
"2011/07/14","119.8000","55873.0000","120.9200","121.3800","119.5200"
"2011/07/13","120.5800","129519.0000","120.8200","121.8200","120.3198"
"2011/07/12","120.1600","132389.0000","120.4600","121.4200","120.1600"
"2011/07/11","120.7000","92745.0000","121.4400","121.8400","120.4460"
"2011/07/08","122.9800","105597.0000","122.4000","122.9800","122.0200"
"2011/07/07","123.8200","195363.0000","123.5800","124.1000","123.3800"
"2011/07/06","122.4800","94840.0000","122.0800","122.6400","121.7600"
"2011/07/05","122.3000","91848.0000","122.4000","122.6000","122.0000"
"2011/07/01","122.5000","139515.0000","120.7400","122.6000","120.5400"
"2011/06/30","120.6800","124813.0000","119.9400","120.8400","119.8200"
"2011/06/29","119.5400","125322.0000","119.1000","119.7000","118.6680"
"2011/06/28","118.4800","59472.0000","117.4800","118.5200","117.3600"
"2011/06/27","116.9800","77836.0000","116.0800","117.4260","115.8260"
